date,hour,topic,open,high,low,close,volume,oi,sentiment,klout
1/1/2012,0,xbox,90191,90191,45095,126267,372305,0,66,25
1/1/2012,1,xbox,38242,38242,38242,38242,84132,0,66,34
1/1/2012,2,xbox,27376,41064,10950,45444,99174,0,67,31
1/1/2012,3,xbox,56796,56796,28398,62475,127445,0,68,26
1/1/2012,4,xbox,47499,66498,23749,51773,164192,0,69,22
1/1/2012,5,xbox,18609,27913,14887,23819,49326,0,68,45
1/1/2012,6,xbox,69721,83665,41832,107370,206556,0,69,31
1/1/2012,7,xbox,76715,76715,61372,81317,259912,0,70,32
1/1/2012,8,xbox,102081,142913,51040,148017,392778,0,69,27
1/1/2012,9,xbox,90189,135283,72151,96502,514711,0,69,29
1/1/2012,10,xbox,52471,73459,41976,80805,323699,0,68,28
1/1/2012,11,xbox,22191,22191,8876,32843,61210,0,68,32
1/1/2012,12,xbox,76994,76994,53895,86233,310767,0,68,20
1/1/2012,13,xbox,30210,42294,15105,35647,74437,0,67,28
1/1/2012,14,xbox,17885,23250,17885,18421,84465,0,67,32
1/1/2012,15,xbox,54922,76890,54922,57118,220388,0,66,25
1/1/2012,16,xbox,37048,37048,14819,39270,94885,0,67,33
1/1/2012,17,xbox,63859,76630,57473,73437,265831,0,66,25
1/1/2012,18,xbox,96556,144834,48278,135178,221108,0,67,32
1/1/2012,19,xbox,91641,91641,64148,105387,274427,0,67,22
1/1/2012,20,xbox,48052,67272,43246,67272,175257,0,67,22
1/1/2012,21,xbox,77776,77776,62220,80887,260019,0,68,28
1/1/2012,22,xbox,80425,112595,64340,90076,339601,0,69,28
1/1/2012,23,xbox,41810,62715,16724,83201,71563,0,68,38
1/2/2012,0,xbox,41242,45366,28869,54439,151180,0,69,32
1/2/2012,1,xbox,84645,118503,67716,110038,243878,0,68,25
1/2/2012,2,xbox,36427,40069,14570,54276,74978,0,67,38
1/2/2012,3,xbox,98889,138444,98889,102844,331693,0,66,31
1/2/2012,4,xbox,31987,31987,28788,33906,90235,0,67,37
1/2/2012,5,xbox,52821,52821,36974,63913,126341,0,68,31
1/2/2012,6,xbox,37874,53023,30299,42418,141455,0,68,26
1/2/2012,7,xbox,57632,63395,57632,62818,230010,0,67,20
1/2/2012,8,xbox,55832,61415,33499,55832,198796,0,68,23
1/2/2012,9,xbox,70045,77049,42027,84053,285368,0,67,20
1/2/2012,10,xbox,77025,92430,77025,78565,468414,0,68,18
1/2/2012,11,xbox,74974,89968,67476,92967,477509,0,69,19
1/2/2012,12,xbox,80697,96836,40348,97643,336975,0,68,21
1/2/2012,13,xbox,38166,45799,38166,42745,157081,0,67,34
1/2/2012,14,xbox,55201,71761,49680,66241,241632,0,66,26
1/2/2012,15,xbox,96599,144898,57959,174844,339054,0,67,27
1/2/2012,16,xbox,66198,99297,39718,113861,296140,0,67,30
1/2/2012,17,xbox,25338,32939,25338,27618,90358,0,68,37
1/2/2012,18,xbox,103251,113576,41300,117706,202925,0,67,28
1/2/2012,19,xbox,83336,91669,33334,130004,126857,0,66,35
1/2/2012,20,xbox,99774,109751,39909,162631,285985,0,65,23
1/2/2012,21,xbox,12150,13365,4860,16402,18643,0,66,50
1/2/2012,22,xbox,94932,123411,85438,110121,400872,0,65,25
1/2/2012,23,xbox,96000,105600,96000,99840,382934,0,65,21
1/3/2012,0,xbox,25897,33666,20717,27191,87945,0,66,36
1/3/2012,1,xbox,61373,61373,36823,76103,96701,0,67,30
1/3/2012,2,xbox,53407,80110,37384,91860,165799,0,68,24
1/3/2012,3,xbox,49076,49076,39260,49076,120042,0,67,24
1/3/2012,4,xbox,75331,105463,45198,99437,209694,0,67,32
1/3/2012,5,xbox,53226,79839,47903,78774,251378,0,68,30
1/3/2012,6,xbox,60326,90489,42228,103760,280866,0,69,24
1/3/2012,7,xbox,69273,76200,41563,93518,187906,0,70,28
1/3/2012,8,xbox,13989,19584,5595,23781,33525,0,69,49
1/3/2012,9,xbox,101082,101082,80865,107147,444949,0,70,27
1/3/2012,10,xbox,28012,33614,28012,32493,170014,0,69,28
1/3/2012,11,xbox,100917,111008,100917,103944,605277,0,68,23
1/3/2012,12,xbox,20814,27058,18732,23311,83099,0,67,34
1/3/2012,13,xbox,82450,107185,57715,92344,311817,0,67,19
1/3/2012,14,xbox,65161,78193,39096,65161,164279,0,66,32
1/3/2012,15,xbox,95876,143814,76700,129433,316991,0,65,22
1/3/2012,16,xbox,48170,67438,43353,69846,216670,0,65,30
1/3/2012,17,xbox,92039,110446,46019,92039,295867,0,64,25
1/3/2012,18,xbox,24334,24334,9733,34554,39165,0,65,45
1/3/2012,19,xbox,29860,44790,23888,34040,111613,0,66,28
1/3/2012,20,xbox,14037,18248,11229,17546,60879,0,66,32
1/3/2012,21,xbox,47681,71521,38144,61031,162988,0,65,26
1/3/2012,22,xbox,19177,23012,15341,23779,61031,0,66,36
1/3/2012,23,xbox,60949,85328,48759,93861,235340,0,67,26
1/4/2012,0,xbox,66422,73064,39853,96311,231151,0,68,25
1/4/2012,1,xbox,62029,74434,49623,81877,134835,0,69,24
1/4/2012,2,xbox,73829,110743,29531,114435,264174,0,68,30
1/4/2012,3,xbox,54564,60020,43651,54564,138698,0,67,31
1/4/2012,4,xbox,17270,17270,17270,17270,50570,0,67,41
1/4/2012,5,xbox,78071,117106,62456,99931,300054,0,67,28
1/4/2012,6,xbox,15794,17373,15794,16425,59248,0,68,39
1/4/2012,7,xbox,25050,37575,10020,27805,105877,0,67,29
1/4/2012,8,xbox,65424,98136,32712,65424,196931,0,66,29
1/4/2012,9,xbox,68840,75724,68840,74347,351687,0,66,18
1/4/2012,10,xbox,105546,137209,73882,149874,559516,0,67,26
1/4/2012,11,xbox,106083,127299,53041,172915,621443,0,66,16
1/4/2012,12,xbox,64916,84390,25966,70758,263634,0,65,25
1/4/2012,13,xbox,32068,35274,12827,52270,65756,0,65,32
1/4/2012,14,xbox,103745,114119,82996,119306,381142,0,65,26
1/4/2012,15,xbox,40767,40767,16306,60335,94577,0,64,28
1/4/2012,16,xbox,39874,59811,27911,46254,135162,0,65,36
1/4/2012,17,xbox,55299,82948,33179,55299,222441,0,64,22
1/4/2012,18,xbox,76086,83694,68477,86737,264044,0,63,30
1/4/2012,19,xbox,28861,43291,28861,37519,151797,0,64,27
1/4/2012,20,xbox,63423,76107,63423,72301,240261,0,64,32
1/4/2012,21,xbox,32462,48693,12984,61029,109923,0,63,32
1/4/2012,22,xbox,88308,132462,44154,105969,260598,0,64,27
1/4/2012,23,xbox,54773,82159,54773,60250,294376,0,64,30
1/5/2012,0,xbox,90797,108956,81717,107140,429825,0,65,23
1/5/2012,1,xbox,65889,79066,65889,69842,162672,0,66,29
1/5/2012,2,xbox,89134,89134,62393,105178,163679,0,67,28
1/5/2012,3,xbox,66259,86136,46381,90112,218204,0,68,32
1/5/2012,4,xbox,45612,63856,27367,52909,130249,0,69,34
1/5/2012,5,xbox,67258,67258,47080,75329,201236,0,68,29
1/5/2012,6,xbox,27290,32748,13645,31110,89864,0,67,32
1/5/2012,7,xbox,39967,59950,15986,61949,156817,0,66,30
1/5/2012,8,xbox,53865,59251,21546,76488,250654,0,67,20
1/5/2012,9,xbox,75673,113509,75673,109725,411169,0,66,29
1/5/2012,10,xbox,21857,21857,17485,23605,99983,0,67,36
1/5/2012,11,xbox,74337,81770,59469,94407,441702,0,66,25
1/5/2012,12,xbox,70685,106027,35342,91890,396304,0,66,22
1/5/2012,13,xbox,21431,25717,15001,24645,86146,0,66,30
1/5/2012,14,xbox,98070,98070,58842,101992,371880,0,65,26
1/5/2012,15,xbox,63679,82782,63679,77051,282953,0,65,20
1/5/2012,16,xbox,57136,57136,28568,71420,138329,0,66,32
1/5/2012,17,xbox,78657,78657,55059,92815,233460,0,65,20
1/5/2012,18,xbox,28442,34130,17065,42094,87327,0,66,32
1/5/2012,19,xbox,88691,115298,44345,131262,235862,0,67,32
1/5/2012,20,xbox,41048,41048,24628,42690,126597,0,67,24
1/5/2012,21,xbox,85983,120376,77384,103179,384336,0,68,25
1/5/2012,22,xbox,73730,95849,58984,84789,294478,0,67,27
1/5/2012,23,xbox,24650,34510,12325,33524,50935,0,68,39
1/6/2012,0,xbox,100813,110894,50406,149203,282046,0,67,19
1/6/2012,1,xbox,34063,34063,13625,46325,54868,0,66,43
1/6/2012,2,xbox,71366,99912,42819,88493,131292,0,67,28
1/6/2012,3,xbox,68838,68838,61954,74345,176815,0,67,25
1/6/2012,4,xbox,44477,62267,26686,44477,118975,0,67,31
1/6/2012,5,xbox,61203,91804,36721,72219,272527,0,68,25
1/6/2012,6,xbox,43276,64914,38948,66645,216304,0,67,29
1/6/2012,7,xbox,83123,116372,74810,83123,309035,0,68,30
1/6/2012,8,xbox,106594,127912,74615,138572,505809,0,69,20
1/6/2012,9,xbox,43427,56455,43427,48638,208914,0,68,24
1/6/2012,10,xbox,86287,129430,86287,107858,656725,0,69,28
1/6/2012,11,xbox,26186,26186,23567,26971,134838,0,68,25
1/6/2012,12,xbox,88282,132423,88282,97110,382825,0,68,24
1/6/2012,13,xbox,46242,69363,46242,64738,208408,0,68,22
1/6/2012,14,xbox,90366,99402,45183,133741,336330,0,69,22
1/6/2012,15,xbox,56857,56857,28428,65385,118843,0,68,28
1/6/2012,16,xbox,23089,30015,20780,25859,82356,0,69,38
1/6/2012,17,xbox,40498,60747,40498,54672,200017,0,69,30
1/6/2012,18,xbox,28989,31887,20292,35946,108954,0,68,31
1/6/2012,19,xbox,17178,25767,13742,26798,82243,0,69,28
1/6/2012,20,xbox,101325,111457,60795,126656,376671,0,70,28
1/6/2012,21,xbox,83098,124647,33239,147083,309971,0,69,20
1/6/2012,22,xbox,22411,22411,20169,24204,76767,0,70,34
1/6/2012,23,xbox,50848,71187,45763,61017,218263,0,69,32
1/7/2012,0,xbox,101473,152209,91325,144091,497662,0,68,27
1/7/2012,1,xbox,74068,88881,37034,89622,185218,0,67,24
1/7/2012,2,xbox,68375,95725,27350,116237,68183,0,66,29
1/7/2012,3,xbox,78433,117649,31373,130198,289191,0,65,21
1/7/2012,4,xbox,44383,62136,44383,53259,180977,0,65,30
1/7/2012,5,xbox,11651,16311,9320,17942,43486,0,66,46
1/7/2012,6,xbox,55992,83988,39194,60471,192497,0,66,33
1/7/2012,7,xbox,75466,75466,30186,98106,246177,0,65,21
1/7/2012,8,xbox,27855,30640,16713,32033,119552,0,64,33
1/7/2012,9,xbox,45425,54510,18170,67229,152224,0,64,28
1/7/2012,10,xbox,74335,104069,37167,81025,256490,0,64,30
1/7/2012,11,xbox,27668,35968,19367,35968,111825,0,64,30
1/7/2012,12,xbox,69412,97176,27764,111059,151441,0,64,25
1/7/2012,13,xbox,60871,79132,36522,86437,159915,0,65,24
1/7/2012,14,xbox,36622,54933,14648,60793,93845,0,64,36
1/7/2012,15,xbox,103400,155100,41360,194392,396318,0,63,22
1/7/2012,16,xbox,40610,52793,32488,58884,166404,0,62,24
1/7/2012,17,xbox,53038,68949,31822,64176,197629,0,61,33
1/7/2012,18,xbox,56962,68354,34177,77468,164149,0,60,24
1/7/2012,19,xbox,66876,80251,33438,99645,253367,0,61,32
1/7/2012,20,xbox,34657,51985,13862,46093,119634,0,62,34
1/7/2012,21,xbox,73413,88095,58730,82222,261966,0,61,28
1/7/2012,22,xbox,77682,108754,38841,98655,259780,0,60,30
1/7/2012,23,xbox,76153,76153,76153,76153,301041,0,59,21
1/8/2012,0,xbox,28092,42138,11236,31182,127678,0,58,28
1/8/2012,1,xbox,95234,142851,66663,95234,270155,0,57,26
1/8/2012,2,xbox,86636,95299,51981,108295,193343,0,56,27
1/8/2012,3,xbox,84668,101601,67734,91441,217091,0,57,30
1/8/2012,4,xbox,29808,44712,26827,44116,113016,0,56,29
1/8/2012,5,xbox,61032,67135,30516,90327,195193,0,55,32
1/8/2012,6,xbox,16045,16045,8022,19254,40327,0,55,40
1/8/2012,7,xbox,31213,34334,31213,32149,129351,0,54,33
1/8/2012,8,xbox,46597,51256,18638,46597,128289,0,53,36
1/8/2012,9,xbox,90375,135562,81337,128332,437092,0,54,25
1/8/2012,10,xbox,16309,19570,8154,16309,63157,0,53,35
1/8/2012,11,xbox,45333,49866,40799,48053,266675,0,52,24
1/8/2012,12,xbox,99345,109279,99345,104312,433454,0,51,30
1/8/2012,13,xbox,81624,122436,48974,133047,327270,0,52,25
1/8/2012,14,xbox,22306,31228,17844,28998,113256,0,51,26
1/8/2012,15,xbox,76937,84630,76937,83091,290460,0,52,29
1/8/2012,16,xbox,73981,96175,59184,85078,340490,0,53,20
1/8/2012,17,xbox,29360,29360,11744,36406,102406,0,54,30
1/8/2012,18,xbox,45901,50491,27540,48196,166990,0,55,26
1/8/2012,19,xbox,53549,64258,21419,74968,111183,0,56,36
1/8/2012,20,xbox,50208,70291,25104,90876,176340,0,57,23
1/8/2012,21,xbox,39043,54660,15617,62468,69267,0,58,29
1/8/2012,22,xbox,68015,88419,34007,73456,290586,0,58,27
1/8/2012,23,xbox,67483,94476,47238,81654,258533,0,59,22
1/9/2012,0,xbox,86674,86674,86674,86674,358694,0,58,21
1/9/2012,1,xbox,101136,111249,80908,128442,210441,0,57,28
1/9/2012,2,xbox,46883,65636,42194,46883,142675,0,58,32
1/9/2012,3,xbox,21706,21706,15194,27566,52840,0,58,32
1/9/2012,4,xbox,34786,52179,34786,38264,103582,0,59,26
1/9/2012,5,xbox,75070,82577,52549,87081,202885,0,58,33
1/9/2012,6,xbox,93781,112537,46890,113475,203605,0,57,26
1/9/2012,7,xbox,67202,80642,26880,88706,209775,0,58,24
1/9/2012,8,xbox,13155,15786,13155,13155,61752,0,59,32
1/9/2012,9,xbox,55660,66792,44528,60112,262081,0,60,31
1/9/2012,10,xbox,62724,62724,31362,75268,197720,0,60,29
1/9/2012,11,xbox,94973,113967,85475,100671,580848,0,61,19
1/9/2012,12,xbox,74014,88816,44408,87336,241754,0,62,31
1/9/2012,13,xbox,42122,46334,16848,62762,137781,0,61,35
1/9/2012,14,xbox,94724,104196,66306,102302,332401,0,62,25
1/9/2012,15,xbox,34851,48791,20910,51579,93404,0,61,31
1/9/2012,16,xbox,31050,43470,21735,46264,149668,0,60,24
1/9/2012,17,xbox,67226,67226,47058,71259,215479,0,59,31
1/9/2012,18,xbox,34948,45432,27958,50674,149321,0,60,26
1/9/2012,19,xbox,91446,128024,73156,102419,313742,0,61,25
1/9/2012,20,xbox,88965,106758,71172,113875,296126,0,62,25
1/9/2012,21,xbox,57376,57376,28688,68851,115025,0,61,27
1/9/2012,22,xbox,94154,94154,75323,105452,343816,0,60,22
1/9/2012,23,xbox,75040,105056,45024,105056,325910,0,59,29
1/10/2012,0,xbox,20345,24414,10172,31738,57544,0,58,41
1/10/2012,1,xbox,71386,78524,35693,79952,168055,0,57,24
1/10/2012,2,xbox,92475,92475,92475,92475,223789,0,58,26
1/10/2012,3,xbox,72209,79429,36104,98204,98826,0,57,26
1/10/2012,4,xbox,11723,16412,5861,13833,22289,0,58,46
1/10/2012,5,xbox,30619,45928,24495,37048,122669,0,58,28
1/10/2012,6,xbox,90670,117871,45335,148698,389782,0,57,18
1/10/2012,7,xbox,65246,65246,65246,65246,254291,0,58,29
1/10/2012,8,xbox,51360,51360,35952,51360,159110,0,59,23
1/10/2012,9,xbox,58162,58162,34897,72121,252861,0,60,25
1/10/2012,10,xbox,16919,20302,6767,18272,48165,0,59,34
1/10/2012,11,xbox,30723,33795,18433,32259,119722,0,59,24
1/10/2012,12,xbox,58047,75461,23218,99841,215831,0,58,30
1/10/2012,13,xbox,23038,25341,13822,26493,98827,0,59,26
1/10/2012,14,xbox,16980,25470,11886,19696,52826,0,58,36
1/10/2012,15,xbox,80039,112054,40019,101649,230928,0,59,24
1/10/2012,16,xbox,58883,88324,47106,71248,202008,0,58,27
1/10/2012,17,xbox,25892,36248,20713,38320,89639,0,57,37
1/10/2012,18,xbox,62668,81468,50134,78335,207223,0,57,31
1/10/2012,19,xbox,93154,93154,83838,95948,318397,0,56,22
1/10/2012,20,xbox,20186,24223,14130,24223,80469,0,57,37
1/10/2012,21,xbox,20278,20278,12166,25145,45447,0,56,36
1/10/2012,22,xbox,48265,67571,19306,48265,165071,0,55,33
1/10/2012,23,xbox,69198,96877,62278,93417,367458,0,54,24
1/11/2012,0,xbox,82882,124323,58017,96143,387058,0,55,19
1/11/2012,1,xbox,15146,22719,10602,24839,40062,0,54,44
1/11/2012,2,xbox,48339,67674,38671,59940,119952,0,55,32
1/11/2012,3,xbox,37527,41279,22516,41279,89403,0,56,30
1/11/2012,4,xbox,15083,16591,10558,19306,36078,0,57,43
1/11/2012,5,xbox,19583,23499,15666,26632,52798,0,58,41
1/11/2012,6,xbox,37678,48981,26374,48981,147482,0,57,25
1/11/2012,7,xbox,67490,74239,47243,78288,271464,0,58,30
1/11/2012,8,xbox,72705,109057,29082,80702,161840,0,59,33
1/11/2012,9,xbox,98297,108126,88467,98297,506237,0,60,21
1/11/2012,10,xbox,103258,113583,72280,115648,530835,0,59,25
1/11/2012,11,xbox,59006,82608,29503,96179,415048,0,58,23
1/11/2012,12,xbox,36058,54087,36058,37860,217565,0,59,27
1/11/2012,13,xbox,85754,111480,34301,93471,382033,0,59,27
1/11/2012,14,xbox,71812,71812,64630,71812,248525,0,60,28
1/11/2012,15,xbox,69987,97981,55989,86783,354677,0,59,29
1/11/2012,16,xbox,17878,17878,10726,24314,54562,0,60,34
1/11/2012,17,xbox,74733,97152,37366,98647,320978,0,59,23
1/11/2012,18,xbox,80796,121194,56557,138969,315157,0,58,20
1/11/2012,19,xbox,48211,62674,24105,59781,123188,0,58,29
1/11/2012,20,xbox,25884,28472,18118,28990,72716,0,57,41
1/11/2012,21,xbox,47290,47290,23645,59112,101265,0,57,31
1/11/2012,22,xbox,45907,45907,27544,47743,138018,0,58,33
1/11/2012,23,xbox,29896,38864,14948,41854,86612,0,57,29
1/12/2012,0,xbox,20256,26332,16204,23294,106221,0,56,31
1/12/2012,1,xbox,85555,111221,85555,106087,205176,0,56,21
1/12/2012,2,xbox,95487,114584,95487,105035,274519,0,55,20
1/12/2012,3,xbox,46853,56223,32797,49195,124759,0,55,35
1/12/2012,4,xbox,77831,108963,46698,90284,317750,0,54,21
1/12/2012,5,xbox,47749,62073,23874,66848,142913,0,53,28
1/12/2012,6,xbox,98182,98182,78545,100145,290564,0,52,19
1/12/2012,7,xbox,101548,111702,50774,107640,411171,0,51,24
1/12/2012,8,xbox,32351,42056,19410,43674,111680,0,52,28
1/12/2012,9,xbox,47012,70518,18804,52183,285839,0,53,25
1/12/2012,10,xbox,23670,33138,9468,23670,76878,0,52,33
1/12/2012,11,xbox,94548,104002,37819,121021,488858,0,51,27
1/12/2012,12,xbox,33444,36788,16722,39463,102128,0,52,34
1/12/2012,13,xbox,36875,40562,18437,39087,130863,0,53,30
1/12/2012,14,xbox,50260,75390,20104,72374,110468,0,54,25
